method,dim,runtime_s,runtime_s,memory_peak_mb,success
,,mean,max,mean,mean
additive,2,0.014011799998115748,0.014716799996676855,0.03821706771850586,1.0
additive,3,0.021314899997378234,0.02177069999743253,0.03839111328125,1.0
additive,5,0.03680220000387635,0.03732730000047013,0.04274272918701172,1.0
additive,8,0.06040390000271145,0.06148410000605509,0.05913352966308594,1.0
additive,10,0.0719600000011269,0.07292730000335723,0.06976032257080078,1.0
additive,15,0.12085520000255201,0.12815340000088327,0.09654808044433594,1.0
additive,20,0.15901650000159862,0.16743030000361614,0.12365436553955078,1.0
random_projection,2,0.012923449998197611,0.01341600000159815,0.14224815368652344,1.0
random_projection,3,0.015481050009839237,0.017837100007454865,0.3833808898925781,1.0
random_projection,5,0.09523444999649655,0.09683779999613762,0.17418622970581055,1.0
random_projection,8,0.10176465000404278,0.10615320000215434,0.26036643981933594,1.0
random_projection,10,0.10585220000211848,0.1189310000045225,0.31793880462646484,1.0
random_projection,15,0.12313390000053914,0.12747110000054818,0.46167659759521484,1.0
random_projection,20,0.1235975499948836,0.13282519999484066,0.605259895324707,1.0
sparse,2,0.01847270000143908,0.019089399997028522,0.1647329330444336,1.0
sparse,3,0.019624399988970254,0.02032679998956155,0.4008035659790039,1.0
sparse,5,0.026074849993165117,0.027346799994120374,1.8118276596069336,1.0
sparse,8,0.07506334999925457,0.09375139999610838,14.260717391967773,1.0
sparse,10,0.2607062999959453,0.35834520000207704,41.428733825683594,1.0
sparse,15,2.934717999996792,4.54951820000133,320.0554780960083,1.0
sparse,20,17.042720949990326,18.897136899991892,1461.4240980148315,1.0
standard,2,0.013383400000748225,0.013499599997885525,0.1602768898010254,1.0
standard,3,0.01735615000507096,0.020143600006122142,0.38299560546875,1.0
standard,5,0.053939650002575945,0.06356330000562593,1.9291715621948242,1.0
standard,8,0.2594910500047263,0.3535448000038741,16.582100868225098,1.0
standard,10,0.5319364499955554,0.6532068999949843,44.957197189331055,1.0
standard,15,2.0538096000018413,2.921474100003252,327.7221956253052,1.0
standard,20,7.627618250007799,10.867834900011076,1474.6381158828735,1.0
