func_name,noise_std,rep,oracle_family,oracle_r2,dc_family,dc_r2,dc_regret,dc_correct,dc_time_ms,aic_family,aic_r2,aic_regret,aic_correct,aic_time_ms,bic_family,bic_r2,bic_regret,bic_correct,bic_time_ms,cv5_family,cv5_r2,cv5_regret,cv5_correct,cv5_time_ms,cv10_family,cv10_r2,cv10_regret,cv10_correct,cv10_time_ms
linear,0.1,0,poly2,0.9674624553353536,linear,0.9670914764959031,0.0003709788394504754,False,7.37469999876339,poly,0.9654231939756281,0.0020392613597254305,False,1.8825000006472692,linear,0.9670914764959031,0.0003709788394504754,False,1.5567000082228333,poly,0.9665162942024018,0.0009461611329517616,False,72.53969999146648,poly,0.9654231939756281,0.0020392613597254305,False,145.155899997917
linear,0.1,1,poly5,0.9788834205093555,linear,0.978329877462512,0.0005535430468435187,False,6.20939998771064,poly,0.9788834205093555,0.0,False,1.5109999949345365,linear,0.978329877462512,0.0005535430468435187,False,1.3193999911891297,linear,0.978329877462512,0.0005535430468435187,False,70.36750001134351,linear,0.978329877462512,0.0005535430468435187,False,141.45580001058988
linear,0.1,2,linear,0.9707619113789328,linear,0.9707619113789328,0.0,True,6.025399998179637,poly,0.9683662127515317,0.002395698627401077,False,1.4377999905264005,linear,0.9707619113789328,0.0,True,9.333499998319894,poly,0.9690333837991851,0.0017285275797476185,False,73.54170001053717,poly,0.9690333837991851,0.0017285275797476185,False,147.3320000077365
linear,0.1,3,poly2,0.9814997309491592,linear,0.9814932474709179,6.483478241281482e-06,False,6.217200003447942,poly,0.9794224909567292,0.0020772399924300355,False,1.6907000099308789,linear,0.9814932474709179,6.483478241281482e-06,False,1.3962999946670607,poly,0.977335838824823,0.00416389212433621,False,70.67050000478048,poly,0.977335838824823,0.00416389212433621,False,143.92130001215264
linear,0.1,4,linear,0.9728715315456289,linear,0.9728715315456289,0.0,True,6.023000009008683,linear,0.9728715315456289,0.0,True,1.4725000073667616,linear,0.9728715315456289,0.0,True,1.2848999904235825,linear,0.9728715315456289,0.0,True,72.41500000236556,linear,0.9728715315456289,0.0,True,145.10409999638796
linear,0.1,5,linear,0.9684923780182135,linear,0.9684923780182135,0.0,True,6.013499994878657,poly,0.9657504318225696,0.0027419461956439406,False,1.4942999987397343,linear,0.9684923780182135,0.0,True,1.3109999999869615,poly,0.9663050112742748,0.0021873667439387123,False,68.14540000050329,poly,0.9663050112742748,0.0021873667439387123,False,143.72969999385532
linear,0.1,6,spline,0.9283086790351194,linear,0.9273100119712068,0.000998667063912606,False,5.754999991040677,linear,0.9273100119712068,0.000998667063912606,False,1.4396000042324886,linear,0.9273100119712068,0.000998667063912606,False,1.2573999993037432,poly,0.9268386074989663,0.0014700715361530836,False,72.72460000240244,poly,0.9268386074989663,0.0014700715361530836,False,158.28800000599585
linear,0.1,7,linear,0.9691401786197495,linear,0.9691401786197495,0.0,True,5.9812999970745295,linear,0.9691401786197495,0.0,True,1.5512999962083995,linear,0.9691401786197495,0.0,True,1.3230000040493906,poly,0.9684260388204404,0.0007141397993091214,False,72.21369999751914,poly,0.9684260388204404,0.0007141397993091214,False,156.16500000760425
linear,0.1,8,poly2,0.9764093984459619,linear,0.976170844365613,0.00023855408034889614,False,6.148700005724095,linear,0.976170844365613,0.00023855408034889614,False,1.5964999911375344,linear,0.976170844365613,0.00023855408034889614,False,1.2888000055681914,linear,0.976170844365613,0.00023855408034889614,False,86.80819999426603,linear,0.976170844365613,0.00023855408034889614,False,160.59869999298826
linear,0.1,9,poly5,0.9693404512562901,linear,0.9674219407053155,0.0019185105509745837,False,6.282000002101995,linear,0.9674219407053155,0.0019185105509745837,False,1.5787000011187047,linear,0.9674219407053155,0.0019185105509745837,False,1.304999997955747,linear,0.9674219407053155,0.0019185105509745837,False,72.63330000569113,linear,0.9674219407053155,0.0019185105509745837,False,143.43539999390487
linear,0.1,10,spline,0.9792579920507494,linear,0.9786860149710179,0.000571977079731445,False,6.047499991836958,poly,0.9791181064705091,0.000139885580240251,False,1.4919999957783148,linear,0.9786860149710179,0.000571977079731445,False,1.424399990355596,poly,0.9791838210925881,7.417095816131258e-05,False,70.47580000653397,poly,0.9791838210925881,7.417095816131258e-05,False,148.85030000004917
linear,0.1,11,poly5,0.9648246186779712,linear,0.9640088341972323,0.0008157844807389347,False,6.337700004223734,poly,0.9648246186779712,0.0,False,1.7131999920820817,linear,0.9640088341972323,0.0008157844807389347,False,1.4285000070231035,linear,0.9640088341972323,0.0008157844807389347,False,71.21480000205338,linear,0.9640088341972323,0.0008157844807389347,False,148.9577000029385
