function,category,expected_complexity,n_inputs,n_outputs,tau,degree,r2,complexity,n_terms,achieved
exp_growth,univariate_exp,medium,1,1,0.9,2,0.9923947794520751,3.0472953058964682,2,True
exp_growth,univariate_exp,medium,1,1,0.95,2,0.9923947794520751,3.0472953058964682,2,True
exp_growth,univariate_exp,medium,1,1,0.99,2,0.9923947794520751,3.0472953058964682,2,True
log_complex,univariate_log,medium_high,1,1,0.5,1,0.9965730781870914,1.57225437062294,1,True
log_complex,univariate_log,medium_high,1,1,0.7,1,0.9965730781870914,1.57225437062294,1,True
log_complex,univariate_log,medium_high,1,1,0.85,1,0.9965730781870914,1.57225437062294,1,True
log_complex,univariate_log,medium_high,1,1,0.9,1,0.9965730781870914,1.57225437062294,1,True
log_complex,univariate_log,medium_high,1,1,0.95,1,0.9965730781870914,1.57225437062294,1,True
log_complex,univariate_log,medium_high,1,1,0.99,1,0.9965730781870914,1.57225437062294,1,True
multi_2d_linear,multivariable,medium,2,1,0.5,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_linear,multivariable,medium,2,1,0.7,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_linear,multivariable,medium,2,1,0.85,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_linear,multivariable,medium,2,1,0.9,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_linear,multivariable,medium,2,1,0.95,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_linear,multivariable,medium,2,1,0.99,2,0.9996104249552803,4.593520857614386,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.5,2,0.999598244340701,4.598879337710655,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.7,2,0.999598244340701,4.598879337710655,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.85,2,0.999598244340701,4.598879337710655,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.9,2,0.999598244340701,4.598879337710655,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.95,2,0.999598244340701,4.598879337710655,5,True
multi_2d_interaction,multivariable,medium_high,2,1,0.99,2,0.999598244340701,4.598879337710655,5,True
multi_3d_simple,multivariable,medium_high,3,1,0.5,2,0.9991015323120548,6.637789869672815,9,True
multi_3d_simple,multivariable,medium_high,3,1,0.7,2,0.9991015323120548,6.637789869672815,9,True
multi_3d_simple,multivariable,medium_high,3,1,0.85,2,0.9991015323120548,6.637789869672815,9,True
multi_3d_simple,multivariable,medium_high,3,1,0.9,2,0.9991015323120548,6.637789869672815,9,True
multi_3d_simple,multivariable,medium_high,3,1,0.95,2,0.9991015323120548,6.637789869672815,9,True
multi_3d_simple,multivariable,medium_high,3,1,0.99,2,0.9991015323120548,6.637789869672815,9,True
multi_3d_complex,multivariable,high,3,1,0.5,2,0.9991327098038686,6.648712740047216,9,True
multi_3d_complex,multivariable,high,3,1,0.7,2,0.9991327098038686,6.648712740047216,9,True
multi_3d_complex,multivariable,high,3,1,0.85,2,0.9991327098038686,6.648712740047216,9,True
multi_3d_complex,multivariable,high,3,1,0.9,2,0.9991327098038686,6.648712740047216,9,True
multi_3d_complex,multivariable,high,3,1,0.95,2,0.9991327098038686,6.648712740047216,9,True
multi_3d_complex,multivariable,high,3,1,0.99,2,0.9991327098038686,6.648712740047216,9,True
multi_4d,multivariable,very_high,4,1,0.5,2,0.9983859287144459,9.199221318648547,14,True
multi_4d,multivariable,very_high,4,1,0.7,2,0.9983859287144459,9.199221318648547,14,True
multi_4d,multivariable,very_high,4,1,0.85,2,0.9983859287144459,9.199221318648547,14,True
multi_4d,multivariable,very_high,4,1,0.9,2,0.9983859287144459,9.199221318648547,14,True
multi_4d,multivariable,very_high,4,1,0.95,2,0.9983859287144459,9.199221318648547,14,True
multi_4d,multivariable,very_high,4,1,0.99,2,0.9983859287144459,9.199221318648547,14,True
multi_5d,multivariable,extreme,5,1,0.5,10,0.9974034768370525,10.00000006979687,0,True
multi_5d,multivariable,extreme,5,1,0.7,10,0.9974034768370525,10.00000006979687,0,True
multi_5d,multivariable,extreme,5,1,0.85,10,0.9974034768370525,10.00000006979687,0,True
multi_5d,multivariable,extreme,5,1,0.9,10,0.9974034768370525,10.00000006979687,0,True
multi_5d,multivariable,extreme,5,1,0.95,10,0.9974034768370525,10.00000006979687,0,True
multi_5d,multivariable,extreme,5,1,0.99,10,0.9974034768370525,10.00000006979687,0,True
multi_radial,multivariable_special,medium_high,2,1,0.5,1,0.9986539292283887,2.0956256691445265,2,True
multi_radial,multivariable_special,medium_high,2,1,0.7,1,0.9986539292283887,2.0956256691445265,2,True
multi_radial,multivariable_special,medium_high,2,1,0.85,1,0.9986539292283887,2.0956256691445265,2,True
multi_radial,multivariable_special,medium_high,2,1,0.9,1,0.9986539292283887,2.0956256691445265,2,True
multi_radial,multivariable_special,medium_high,2,1,0.95,1,0.9986539292283887,2.0956256691445265,2,True
multi_radial,multivariable_special,medium_high,2,1,0.99,1,0.9986539292283887,2.0956256691445265,2,True
multi_polynomial_3d,multivariable_special,high,3,1,0.5,3,0.9984281261300311,12.651216186988096,19,True
multi_polynomial_3d,multivariable_special,high,3,1,0.7,3,0.9984281261300311,12.651216186988096,19,True
multi_polynomial_3d,multivariable_special,high,3,1,0.85,3,0.9984281261300311,12.651216186988096,19,True
multi_polynomial_3d,multivariable_special,high,3,1,0.9,3,0.9984281261300311,12.651216186988096,19,True
multi_polynomial_3d,multivariable_special,high,3,1,0.95,3,0.9984281261300311,12.651216186988096,19,True
multi_polynomial_3d,multivariable_special,high,3,1,0.99,3,0.9984281261300311,12.651216186988096,19,True
piecewise_many,chaotic,high,1,1,0.5,1,0.7913319070285785,1.623447694072572,1,True
piecewise_many,chaotic,high,1,1,0.7,1,0.7913319070285785,1.623447694072572,1,True
piecewise_many,chaotic,high,1,1,0.85,7,0.8538066889255072,10.981017619241712,7,True
piecewise_many,chaotic,high,1,1,0.9,12,0.8780511642584437,211.47223221847622,10,False
piecewise_many,chaotic,high,1,1,0.95,12,0.8780511642584437,298.76936712356394,10,False
piecewise_many,chaotic,high,1,1,0.99,12,0.8780511642584437,362.2581925090824,10,False
modulated_sine,chaotic,very_high,1,1,0.5,6,0.7903194525998372,9.345069682511943,6,True
modulated_sine,chaotic,very_high,1,1,0.7,6,0.7903194525998372,9.345069682511943,6,True
modulated_sine,chaotic,very_high,1,1,0.85,7,0.9005241752590586,10.547093427516906,7,True
modulated_sine,chaotic,very_high,1,1,0.9,7,0.9005241752590586,10.547093427516906,7,True
modulated_sine,chaotic,very_high,1,1,0.95,8,0.9694975780648138,12.431273794753011,8,True
modulated_sine,chaotic,very_high,1,1,0.99,9,0.9946507396163488,13.033757541662554,8,True
damped_oscillation,chaotic,medium_high,1,1,0.5,9,0.06834190040002497,1290.0325293220674,8,False
damped_oscillation,chaotic,medium_high,1,1,0.7,9,0.06834190040002497,1342.330013904087,8,False
damped_oscillation,chaotic,medium_high,1,1,0.85,9,0.06834190040002497,1365.402433572625,8,False
damped_oscillation,chaotic,medium_high,1,1,0.9,9,0.06834190040002497,1371.3841720052087,8,False
damped_oscillation,chaotic,medium_high,1,1,0.95,9,0.06834190040002497,1376.736253760679,8,False
damped_oscillation,chaotic,medium_high,1,1,0.99,9,0.06834190040002497,1380.628676855566,8,False
rational_function,chaotic,high,1,1,0.5,1,0.9994065014963331,1.59750303336812,1,True
rational_function,chaotic,high,1,1,0.7,1,0.9994065014963331,1.59750303336812,1,True
rational_function,chaotic,high,1,1,0.85,1,0.9994065014963331,1.59750303336812,1,True
rational_function,chaotic,high,1,1,0.9,1,0.9994065014963331,1.59750303336812,1,True
rational_function,chaotic,high,1,1,0.95,1,0.9994065014963331,1.59750303336812,1,True
rational_function,chaotic,high,1,1,0.99,1,0.9994065014963331,1.59750303336812,1,True
weierstrass_like,chaotic,extreme,1,1,0.5,7,0.6831260641907244,10.985116320901332,7,True
weierstrass_like,chaotic,extreme,1,1,0.7,8,0.7210957891429481,12.073456628975313,8,True
weierstrass_like,chaotic,extreme,1,1,0.85,9,0.7630533681397222,280.6971434344454,8,False
weierstrass_like,chaotic,extreme,1,1,0.9,9,0.7630533681397222,349.90043130204987,8,False
weierstrass_like,chaotic,extreme,1,1,0.95,9,0.7630533681397222,411.8191625520117,8,False
weierstrass_like,chaotic,extreme,1,1,0.99,9,0.7630533681397222,456.8509670974384,8,False
