dataset,recommendation,R2_recommended,R2_cv,regret
diabetes,ensemble,0.4254224354856928,0.4526027629719197,0.027180327486226896
california,ensemble,0.8036506665860602,0.8036506665860602,0.0
friedman1,ensemble,0.7930026145830213,0.7930026145830213,0.0
