func_name,degree,deltaC,gap,R2_train,R2_test
linear,1,0.006911982493405411,0.007806207635957962,0.9748976841318611,0.9670914764959031
linear,2,0.005487019523887415,0.007482652404650514,0.9749451077400041,0.9674624553353536
linear,3,0.004982143613240453,0.009144253021716953,0.9756605472241187,0.9665162942024017
linear,4,0.10445358257974569,0.009559763263893073,0.9756819300617302,0.9661221667978371
linear,5,-0.037964363614215735,0.010551065076807364,0.9759742590524364,0.965423193975629
linear,6,2.6647875700021757,0.011504549480386261,0.9760043552639096,0.9644998057835233
linear,7,7.786064225233996,0.011730802991576916,0.9760117721831315,0.9642809691915546
linear,8,32.64879689947742,0.01581970167832414,0.9764824224361743,0.9606627207578502
linear,9,429.4473338259564,0.014871119141595446,0.9765248764098444,0.961653757268249
linear,10,1842.0494246166274,0.014934947978500035,0.9765257442651909,0.9615907962866909
linear,11,7327.716641325091,0.019833995202246824,0.9773301446138002,0.9574961494115534
linear,12,-6006.333636224634,0.019120189816701827,0.9777635583699615,0.9586433685532597
linear,13,600276.8549989916,0.01907489508644522,0.9777675768960226,0.9586926818095773
linear,14,8505747.614364447,0.019184887354923408,0.9778226095767565,0.9586377222218331
linear,15,22564774.9378526,0.021328677720571787,0.9781520414774312,0.9568233637568594
linear,1,0.008360515314344896,-0.005985495904087257,0.9723443815584247,0.978329877462512
linear,2,0.008803891851633772,-0.005932631699656632,0.9724657133008836,0.9783983450005402
linear,3,0.007746889528807976,-0.0059347857153549954,0.9730794157667066,0.9790142014820616
linear,4,0.037437535404253985,-0.005769161662650735,0.9730904446376971,0.9788596063003479
linear,5,0.10108095681988782,-0.0057902743842160875,0.9730931461251394,0.9788834205093555
linear,6,1.8737672881101695,-0.0053204231534272894,0.9731424639591328,0.9784628871125601
linear,7,4.481273615959832,-0.005585261191448421,0.9732849808165241,0.9788702420079726
linear,8,64.59611562701754,-0.005569936037008061,0.9732857573234104,0.9788556933604184
linear,9,95.1444608389101,-0.005412001726546101,0.9736087167949417,0.9790207185214878
linear,10,1409.8345335123186,-0.0025925852666311977,0.9748479401393095,0.9774405254059407
linear,11,47386.32357184108,-0.0024475131645459447,0.9748568040868753,0.9773043172514212
linear,12,146541.3113892089,-0.001866693533500663,0.9759854852184887,0.9778521787519894
linear,13,77212.30162678711,-0.00030366351069788244,0.976249559232189,0.9765532227428869
linear,14,-606484.475220328,0.0013757125008210247,0.9772153012000211,0.9758395886992001
linear,15,14297210.922443734,0.0016448964717490355,0.9773454164057197,0.9757005199339707
linear,1,0.006879708091169556,0.0004773276337818322,0.9712392390127146,0.9707619113789328
linear,2,0.007413452006313825,0.0019662581627885034,0.9721267611089076,0.9701605029461191
linear,3,0.004901418378172373,0.0034014079058488633,0.9724347917050339,0.969033383799185
linear,4,0.006626867733123376,0.003472384211026691,0.972437625899371,0.9689652416883443
linear,5,0.41197878225885454,0.004109219047821466,0.9724754317993531,0.9683662127515317
linear,6,1.1147496959785155,0.003769346148784325,0.9725165016542564,0.9687471555054721
linear,7,5.494511519421934,0.0048066288184130945,0.9726276534288394,0.9678210246104263
linear,8,53.57202100723985,0.00563657400430162,0.9730107468049558,0.9673741728006542
linear,9,997.6951845985966,0.0048854641900736295,0.9731202785211924,0.9682348143311188
linear,10,6028.0988371590365,0.0022992332815059413,0.9733890689676615,0.9710898356861556
linear,11,38048.484767666174,0.0022743035944911005,0.9734292511492488,0.9711549475547577
linear,12,51495.81223298738,0.0029164094409573904,0.9734581667953506,0.9705417573543932
linear,13,752324.072870806,0.0028731174657405933,0.9735115255857477,0.9706384081200071
linear,14,2139423.8505982268,0.003284976978690235,0.9735531908412121,0.9702682138625218
linear,15,32393689.977590732,0.002199182854314974,0.973673734284427,0.9714745514301121
linear,1,0.007686300354935227,-0.012069744431647322,0.9694235030392706,0.9814932474709179
linear,2,0.007217525632807309,-0.012069016060425763,0.9694307148887334,0.9814997309491592
linear,3,0.005609833794974151,-0.011404539158710092,0.9695362198705209,0.980940759029231
linear,4,0.009334407530359634,-0.01054253757325041,0.9696401030592624,0.9801826406325128
linear,5,0.2328110912564938,-0.008499727591194661,0.9709227633655347,0.9794224909567294
linear,6,0.571263007373684,-0.008541825179780416,0.970924420677101,0.9794662458568815
linear,7,4.485925727696468,-0.0050933501623984245,0.9722424886623838,0.9773358388247823
linear,8,75.02728249788447,-0.00484119581264042,0.9723156209767143,0.9771568167893547
linear,9,644.9083391250967,-0.004033006990735499,0.972365501489511,0.9763985084802465
linear,10,3617.735951581273,-0.004022136901385975,0.9723659327770061,0.9763880696783921
linear,11,23489.628602868404,-0.0035454733188174936,0.972395507405273,0.9759409807240905
linear,12,32711.040108477493,0.0013994328867895645,0.9734045064003306,0.972005073513541
linear,13,172879.16499707213,0.0015288137568892912,0.9734160935398641,0.9718872797829748
linear,14,8686137.410704866,0.0002705972306522586,0.9739133653262981,0.9736427680956459
linear,15,48509431.697170705,0.0003029771745053367,0.9739136718519461,0.9736106946774408
linear,1,0.007053819670058692,-0.0008747720955357696,0.9719967594500931,0.9728715315456289
linear,2,0.008912953837672877,-0.00035435847454057257,0.9721436568447323,0.9724980153192728
linear,3,0.006892488932916052,2.7716085791662515e-05,0.9722024397113799,0.9721747236255882
linear,4,0.032103668061696844,-7.453328218942623e-06,0.9723112642778267,0.9723187176060456
linear,5,0.5231910683319381,0.003743580356036391,0.9729319201069024,0.969188339750866
linear,6,4.605475948525488,0.0033979007655295934,0.9730422284922727,0.9696443277267431
linear,7,0.08243740244198072,0.00476590390182885,0.9731330487959957,0.9683671448941669
linear,8,15.095872084758398,0.004255305920509267,0.973385029601886,0.9691297236813767
linear,9,513.0425573852375,0.0041066416077401025,0.9733882059946183,0.9692815643868782
linear,10,345.76459753181643,0.0048034762947108955,0.9736259403323726,0.9688224640376617
linear,11,19178.031803176436,0.004531857224683855,0.9736509110321321,0.9691190538074482
linear,12,218705.5391939021,0.004879121560136479,0.9737522649879664,0.9688731434278299
linear,13,1320852.4218991324,0.005307507680371026,0.9737965379211408,0.9684890302407698
linear,14,2209920.3837652756,0.005922808108517974,0.9738245664242285,0.9679017583157106
linear,15,25926750.873559136,0.004875480262148568,0.9739383555031411,0.9690628752409925
linear,1,0.00797004829998138,0.0030302966063393555,0.9715226746245529,0.9684923780182135
linear,2,0.006701829031434237,0.0035292903468611136,0.9716038475654769,0.9680745572186158
linear,3,0.007362462802424474,0.006403137692457261,0.972708148966732,0.9663050112742747
linear,4,0.03188478409557405,0.007193242817420509,0.9728553421239697,0.9656620993065492
linear,5,0.3884989182156424,0.007106326832615584,0.9728567586551852,0.9657504318225696
linear,6,0.3832499978014958,0.007110610164172804,0.9728568106170915,0.9657462004529187
linear,7,-3.6195319104502026,0.009242715199374585,0.9738216301133639,0.9645789149139893
linear,8,52.21994553333997,0.009033863346056936,0.9738358990139897,0.9648020356679328
linear,9,543.8208958763908,0.008944183633558755,0.9738410169344339,0.9648968333008752
linear,10,1317.0415010762235,0.010906783146112708,0.9742167609642997,0.963309977818187
linear,11,18504.507377681177,0.012291308421740865,0.9743321095873764,0.9620408011656355
linear,12,73769.17877585703,0.014054064739844163,0.9748325266378027,0.9607784618979586
linear,13,-79828.95247705397,0.013360793838938623,0.9749901636899794,0.9616293698510407
linear,14,1473926.3773066495,0.014142206487906428,0.9750519715368074,0.960909765048901
linear,15,28114577.013121422,0.014098107395224657,0.9750526619683615,0.9609545545731368
linear,1,0.007914985448465695,0.04649918227142191,0.9738091942426287,0.9273100119712068
linear,2,0.008202204336157592,0.04728748904200453,0.9741260965409708,0.9268386074989663
linear,3,0.03671347852729312,0.0458770663549386,0.9741857453900578,0.9283086790351192
linear,4,0.023352122565784228,0.045853517099591734,0.9741966852537898,0.928343168154198
linear,5,0.45891868381159195,0.04784900317249685,0.9745164294995814,0.9266674263270845
linear,6,3.380840409235825,0.04762333514413075,0.9745215322657267,0.9268981971215959
linear,7,10.870190535977024,0.04775625154683161,0.9745618032155855,0.9268055516687539
linear,8,0.6174496548976656,0.047797296685400115,0.9746691985005882,0.9268719018151881
linear,9,1441.2148439636983,0.04835750189100274,0.9746837342251211,0.9263262323341184
linear,10,5197.995497397216,0.051307062058681074,0.9748749367127254,0.9235678746540443
linear,11,33517.53911870449,0.05196319793359694,0.9753103231688091,0.9233471252352121
linear,12,38869.191507835254,0.05187744386586213,0.9755040806845804,0.9236266368187183
linear,13,-21193.417734055358,0.05455548193586646,0.9757075208931135,0.9211520389572471
linear,14,4556020.50387302,0.05447107940293905,0.9757077460456738,0.9212366666427347
linear,15,314780.6623083381,0.05422280197160778,0.9757376398387414,0.9215148378671336
linear,1,0.00718822160030097,0.00614687329314012,0.9752870519128897,0.9691401786197495
