function,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,sign_inconsistent,shapiro_stat,shapiro_p,n_outliers,outlier_pct,gap_range,n_samples
linear,0.07111847992601153,0.1319741094045594,0.1598587647346407,0.000665046355074957,0.11099232863152682,0.00043469925547036067,False,0.22834961871284665,2.3598798475150684e-39,97,21.555555555555557,0.06662522636751378,450
quadratic,0.07660897969670122,0.10459203462911672,0.1472888919616064,0.0017309890370930782,0.10249938134125215,0.0011586348724674054,False,0.22141806700790223,1.7808397619034175e-39,97,21.555555555555557,0.22739872032989383,450
cubic,0.06672321135816403,0.15764061745051533,0.13658543169760512,0.003696397167910842,0.0969957931205147,0.0021090679019284387,False,0.21838336889992427,1.5753482963563447e-39,96,21.333333333333332,0.34756378432994905,450
sine,-0.008397404807569852,0.8590029336191051,0.03782148718429886,0.42349657695586107,0.03786191536748329,0.23010421914794443,True,0.23001850153557624,2.5261637042594574e-39,98,21.77777777777778,0.2726731597965808,450
sine_high,-0.007480971792933652,0.8742549156359731,-0.0010984745603681994,0.9814609375186928,-0.006681514476614699,0.8322781532052542,False,0.32871770683712365,1.7883602187258078e-37,103,22.88888888888889,39.16647730316112,450
exp,0.06699946237866367,0.15592382003884292,0.14161446064754232,0.0026044988636197415,0.0985201682751794,0.0017917283225476145,False,0.22725800419793574,2.257228189570869e-39,97,21.555555555555557,0.0946405980280729,450
step,0.015874558325584848,0.7369954588605818,0.12467939759373299,0.008100970246526147,0.08086117297698588,0.010376706485002017,False,0.2178124214654339,1.5394919195458377e-39,108,24.0,1.0587228652451497,450
abs,0.09490459577642842,0.044201525600242625,0.16804501092186466,0.0003431332215475438,0.11245731254639937,0.0003645450180336345,False,0.2011372513882892,7.905803681503158e-40,103,22.88888888888889,0.8806673762115929,450
runge,0.08733749256342677,0.06415610312076268,0.17786089478631173,0.00014896515323034994,0.12144518683494182,0.00011841325216546484,False,0.19872298948017764,7.185435727552385e-40,97,21.555555555555557,0.4389283777615426,450
